Iteration,AVG Score
1,984.3893241234686
5,985.4999969584829
10,986.436796506429
15,987.804556448374
20,987.804556448374
25,987.804556448374
30,987.804556448374
35,987.804556448374
40,987.804556448374
45,987.804556448374
50,987.804556448374
55,987.804556448374
60,987.8461882376766
65,987.8579377157212
70,988.5169031521658
75,988.5870753730185
80,988.5870753730185
85,988.5870753730185
90,988.5870753730185
95,988.5870753730185
100,988.5870753730185
105,988.5870753730185
110,988.5870753730185
115,988.5870753730185
120,988.5870753730185
125,988.5870753730185
130,988.5870753730185
135,988.5870753730185
140,988.5870753730185
145,988.939119670475
150,988.9782357035256
155,988.9782357035256
160,988.9782357035256
165,988.9782357035256
170,988.9782357035256
175,988.9782357035256
180,988.9782357035256
185,988.9782357035256
190,988.9782357035256
195,988.9782357035256
200,989.1081476159395
205,989.1081476159395
210,989.1081476159395
215,989.1081476159395
220,989.1081476159395
225,989.1468101520716
230,989.3014602965993
235,989.3014602965993
240,989.3014602965993
245,989.3014602965993
250,989.3014602965993
255,989.3014602965993
260,989.3014602965993
265,989.3014602965993
270,989.3014602965993
275,989.3014602965993
280,989.3014602965993
285,989.3014602965993
290,989.3014602965993
295,989.3014602965993
300,989.3014602965993
305,989.3014602965993
310,989.3014602965993
315,989.3014602965993
320,989.3014602965993
325,989.3014602965993
330,989.3014602965993
335,989.3014602965993
340,989.3014602965993
345,989.3362170864987
350,989.359388279765
355,989.359388279765
360,989.359388279765
365,989.359388279765
370,989.359388279765
375,989.359388279765
380,989.359388279765
385,989.359388279765
390,989.359388279765
395,989.359388279765
400,989.359388279765
405,989.359388279765
410,989.359388279765
415,989.359388279765
420,989.359388279765
425,989.359388279765
430,989.359388279765
435,989.359388279765
440,989.359388279765
445,989.359388279765
450,989.359388279765
455,989.359388279765
460,989.359388279765
465,989.359388279765
470,989.359388279765
475,989.359388279765
480,989.359388279765
485,989.359388279765
490,989.359388279765
495,989.359388279765
500,989.359388279765
