Iteration,AVG Time
1,1.8051369905471801
5,5.1262977600097654
10,9.18923876285553
15,13.511430239677429
20,17.76845157146454
25,22.098174381256104
30,26.37841477394104
35,30.77289035320282
40,35.11755394935608
45,39.46877679824829
50,43.95516767501831
55,48.433304238319394
60,52.50763835906982
65,57.291992497444156
70,61.51453297138214
75,65.69376835823059
80,70.30056173801422
85,74.56261205673218
90,79.01297392845154
95,83.31068408489227
100,87.92686512470246
105,92.29044139385223
110,96.68780376911164
115,101.09695897102355
120,105.31797549724578
125,110.10525820255279
130,114.47068769931793
135,119.12544054985047
140,123.2603405714035
145,127.71626856327057
150,132.15535871982576
155,136.53105511665345
160,141.18858487606047
165,145.63970775604247
170,149.80396292209625
175,154.30156478881835
180,158.68252789974213
185,163.06779687404634
190,167.51325218677522
195,172.21797223091124
200,176.25419793128967
205,180.53472831249238
210,185.19634971618652
215,189.63622784614563
220,194.358984041214
225,198.3528542995453
230,202.70861301422119
235,207.6863812685013
240,212.07007446289063
245,215.56887512207032
250,220.65119044780732
255,225.24721307754515
260,229.660706281662
265,233.37950370311736
270,238.0403501033783
275,242.74383926391602
280,247.01082808971404
285,251.25481691360474
290,255.745454287529
295,260.8291603088379
300,264.3020151615143
305,269.41830999851226
310,273.35694081783294
315,278.0301790237427
320,282.78337194919584
325,286.9159132242203
330,292.1894170999527
335,295.85379407405856
340,300.29773392677305
345,304.74677288532257
350,308.73079190254214
355,314.19494037628175
360,318.14847469329834
365,322.7118804216385
370,326.6570650577545
375,331.2347558498383
380,335.54250993728635
385,339.8393314599991
390,344.0383327960968
395,348.8500900745392
400,353.3180903673172
405,357.6680256843567
410,362.18834545612333
415,366.1884454250336
420,370.8270409822464
425,375.4826593399048
430,380.7040363550186
435,384.7340973138809
440,388.80794925689696
445,393.08021876811983
450,397.37851960659026
455,401.348188996315
460,406.9622794389725
465,410.5230281352997
470,415.6677159547806
475,419.9962540149689
480,423.88218731880187
485,428.80005402565
490,433.56309366226196
495,438.21498477458954
500,441.4678402662277
