Mutation,AVG Time
0.01,7.800864911079406
0.02,7.813138961791992
0.03,7.808959579467773
0.04,7.888744282722473
0.05,7.820509767532348
0.06,7.916110420227051
0.07,7.880374884605407
0.08,7.921447396278381
0.09,8.015384745597839
0.1,7.899620246887207
0.11,8.029176664352416
0.12,7.941244006156921
0.13,7.940107274055481
0.14,7.960896039009095
0.15,8.028734922409058
0.16,7.976851511001587
0.17,8.00614058971405
0.18,8.058580613136291
0.19,8.041127920150757
0.2,8.007402610778808
0.21,7.925670528411866
0.22,8.179089093208313
0.23,8.089952373504639
0.24,8.205639505386353
0.25,8.15852918624878
0.26,7.998200535774231
0.27,8.007177042961121
0.28,8.017907786369324
0.29,8.201840043067932
0.3,8.064482283592223
0.31,8.033156991004944
0.32,8.11533808708191
0.33,8.3307195186615
0.34,8.208741760253906
0.35,8.316521048545837
0.36,8.151372718811036
0.37,8.159322571754455
0.38,8.111612319946289
0.39,8.178366422653198
0.4,8.219882798194885
0.41,8.2168683052063
0.42,8.202453541755677
0.43,8.458255743980407
0.44,8.381855487823486
0.45,8.143091249465943
0.46,8.339962434768676
0.47,8.20636682510376
0.48,8.330319786071778
0.49,8.385199666023254
0.5,8.291850161552428
0.51,8.270618391036987
0.52,8.234833717346191
0.53,8.244052815437318
0.54,8.271902155876159
0.55,8.24955768585205
0.56,8.439925646781921
0.57,8.353709506988526
0.58,8.426827931404114
0.59,8.503804588317871
0.6,8.373229551315308
0.61,8.501828455924988
0.62,8.259481549263
0.63,8.397293972969056
0.64,8.330019521713258
0.65,8.438411474227905
0.66,8.336729407310486
0.67,8.524350261688232
0.68,8.436203122138977
0.69,8.416659903526305
0.7,8.420722961425781
0.71,8.446358156204223
0.72,8.315897250175476
0.73,8.461435508728027
0.74,8.448363304138184
0.75,8.470445084571839
0.76,8.417854452133179
0.77,8.612638306617736
0.78,8.58964138031006
0.79,8.384399366378783
0.8,8.472994399070739
0.81,8.513279271125793
0.82,8.470189070701599
0.83,8.727137041091918
0.84,8.47244291305542
0.85,8.40129005908966
0.86,8.473764896392822
0.87,8.60345516204834
0.88,8.469463634490968
0.89,8.474626636505127
0.9,8.502389121055604
0.91,8.53674623966217
0.92,8.664896035194397
0.93,8.534581232070924
0.94,8.560048866271973
0.95,8.576655411720276
0.96,8.626663255691529
0.97,8.495527291297913
0.98,8.852668976783752
0.99,8.50418405532837
1.0,8.615294003486634
